iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
36,0.8649298597,100.7010846801,100.7010846801,100.7654381679,0.0647972934,5.3643715439
37,0.8639278557,100.7010846801,100.7010846801,100.7529574994,0.0595291354,5.0211502683
38,0.8629258517,100.7010846801,100.7010846801,100.7479317789,0.0591605631,5.0082570130
39,0.8619238477,100.7010846801,100.7010846801,100.7349875540,0.0541668832,5.0399642583
40,0.8609218437,100.7010846801,100.7010846801,100.7520909569,0.0673875972,5.4608747458
41,0.8599198397,100.7010846801,100.7010846801,100.7509632182,0.0610352975,5.1293015337
42,0.8589178357,100.7010846801,100.7010846801,100.7504737707,0.0611269193,4.9724295661
43,0.8579158317,100.7010846801,100.7010846801,100.7448678815,0.0587253520,4.5991553224
44,0.8569138277,100.7010846801,100.7010846801,100.7436702190,0.0622169985,5.2150425783
45,0.8559118236,100.7010846801,100.7010846801,100.7390595052,0.0527268137,5.2542237347
46,0.8549098196,100.7010846801,100.7010846801,100.7492819201,0.0623648242,5.0619456313
47,0.8539078156,100.7010846801,100.7010846801,100.7509416212,0.0640035433,4.7721684105
48,0.8529058116,100.7010846801,100.7010846801,100.7404366119,0.0577813639,4.5671805276
49,0.8519038076,100.7010846801,100.7010846801,100.7434160962,0.0598185992,4.9076304184
50,0.8509018036,100.7010846801,100.7010846801,100.7330798064,0.0492682090,4.7580733682
51,0.8498997996,100.7010846801,100.7010846801,100.7446923450,0.0547344228,5.1503532238
52,0.8488977956,100.7010846801,100.7010846801,100.7405388713,0.0564205579,5.0111679180
53,0.8478957916,100.7010846801,100.7010846801,100.7345702453,0.0529759236,4.4672849430
54,0.8468937876,100.7010846801,100.7010846801,100.7403319595,0.0558436107,4.5710473470
55,0.8458917836,100.7010846801,100.7010846801,100.7399615031,0.0501158606,5.0765387446
56,0.8448897796,100.7010846801,100.7010846801,100.7329006451,0.0560979063,5.1059732183
57,0.8438877756,100.7010846801,100.7010846801,100.7377600762,0.0584940785,5.0019107871
58,0.8428857715,100.7010846801,100.7010846801,100.7428442594,0.0603159245,5.1960850238
59,0.8418837675,100.7010846801,100.7010846801,100.7355528989,0.0508903984,5.0560201861
60,0.8408817635,100.7010846801,100.7010846801,100.7577015481,0.0630269166,5.2463090874
61,0.8398797595,100.7010846801,100.7010846801,100.7449669237,0.0580806586,4.6352884493
62,0.8388777555,100.7010846801,100.7010846801,100.7402605974,0.0585894552,4.4320680644
63,0.8378757515,100.7010846801,100.7010846801,100.7377720694,0.0565609188,4.8487996633
64,0.8368737475,100.7010846801,100.7010846801,100.7289625892,0.0515776390,4.5834517167
65,0.8358717435,100.7010846801,100.7010846801,100.7420244253,0.0573798861,4.7282926164
66,0.8348697395,100.7010846801,100.7010846801,100.7442116300,0.0617571544,4.7577906884
67,0.8338677355,100.7010846801,100.7010846801,100.7364135401,0.0506979958,4.7900460850
68,0.8328657315,100.7010846801,100.7010846801,100.7241810694,0.0425113299,4.8139782813
69,0.8318637275,100.7010846801,100.7010846801,100.7304006132,0.0478997008,5.0269044038
70,0.8308617234,100.7010846801,100.7010846801,100.7405757261,0.0574877407,4.8646680835
