iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
58,0.8428857715,289.6993471840,289.9131445789,292.1435557145,1.3290619310,7.3772654512
59,0.8418837675,289.6993471840,290.0052250743,291.8893977208,1.3107180760,7.1220333778
60,0.8408817635,289.6993471840,289.8688829385,292.1133947745,1.4490560260,7.2416122503
61,0.8398797595,289.6993471840,289.9162869987,292.0240981142,1.4671037841,6.7862235982
62,0.8388777555,289.6993471840,289.8915783284,291.9474380118,1.2196514035,6.8930903705
63,0.8378757515,289.6993471840,290.0371290889,292.2092109331,1.5262004421,6.8559016114
64,0.8368737475,289.6993471840,290.0040760161,291.9714824947,1.4633714770,6.6349772608
65,0.8358717435,289.6311407141,289.6311407141,291.7390150915,1.3179986073,6.4222838464
66,0.8348697395,289.6311407141,289.8919738977,291.8093587999,1.2634860730,6.4427744886
67,0.8338677355,289.6311407141,289.7629576467,291.6235954513,1.3623695303,6.2490967257
68,0.8328657315,289.6311407141,290.0894261411,291.7238736063,1.2290750162,6.6579745499
69,0.8318637275,289.6019456072,289.6019456072,291.6560486274,1.3083861036,6.5981940147
70,0.8308617234,289.6019456072,289.6736237955,291.4549234120,1.1016183913,6.0268333846
