iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
35,0.8659318637,387.2829247071,387.3984858639,388.0877166198,0.3634054063,7.9811846059
36,0.8649298597,387.2829247071,387.3964408109,388.0047663586,0.3560459814,7.8193808981
37,0.8639278557,387.2829247071,387.3607183220,388.0973216263,0.4340054448,8.2711053915
38,0.8629258517,387.2829247071,387.3294208230,388.0212939225,0.4692715955,7.6310143690
39,0.8619238477,387.2829247071,387.3156232895,387.9592013739,0.3447260403,7.7460558547
40,0.8609218437,387.2829247071,387.3532872756,388.0137574687,0.3617904337,7.7324693188
41,0.8599198397,387.2829247071,387.3859482000,387.9605986015,0.3175359223,7.4348098707
42,0.8589178357,387.2829247071,387.3864980977,388.0316565714,0.4293307657,7.4367270172
43,0.8579158317,387.2829247071,387.3683764036,387.9883639764,0.3795015206,7.2800351993
44,0.8569138277,387.2829247071,387.2954683804,387.9530577150,0.3289970254,7.3220442508
45,0.8559118236,387.2829247071,387.4453482421,387.9863360758,0.3601333625,7.5991842004
46,0.8549098196,387.2829247071,387.2949848676,387.9333704392,0.3872018505,7.1744922948
47,0.8539078156,387.2546664965,387.2546664965,387.9526475192,0.4347535792,7.0062630956
48,0.8529058116,387.2546664965,387.3006603296,387.8791789428,0.3987613716,6.9423047100
49,0.8519038076,387.2546664965,387.3824245199,387.9302519810,0.3619618355,6.9370025464
50,0.8509018036,387.2546664965,387.3670605384,387.8640837035,0.3522129586,6.9535893662
51,0.8498997996,387.2546664965,387.3229428647,387.9023197861,0.3254892485,6.9510848137
52,0.8488977956,387.2387367704,387.2387367704,387.7912959000,0.3303828313,7.0376201169
53,0.8478957916,387.2387367704,387.3872918163,387.9664593326,0.3849988565,7.2303918936
54,0.8468937876,387.2387367704,387.3613757047,387.8736833991,0.3471148418,6.7574077877
55,0.8458917836,387.1908035306,387.1908035306,387.8764293107,0.4328031049,6.8836087434
56,0.8448897796,387.1908035306,387.2832640579,387.8830832980,0.3877351298,6.7665368276
57,0.8438877756,387.1908035306,387.2130616789,387.8095985671,0.3948243025,6.8490622572
58,0.8428857715,387.1908035306,387.2655099992,387.7852754459,0.3011789491,7.0020898616
59,0.8418837675,387.1908035306,387.2293651041,387.8109671169,0.3915197572,6.7877286873
60,0.8408817635,387.1908035306,387.1918202600,387.8163314995,0.3820910081,6.6704376358
61,0.8398797595,387.1908035306,387.3532487128,387.7904576233,0.2774763226,6.7186928158
62,0.8388777555,387.1908035306,387.2089452563,387.7851191886,0.3502349394,6.5513420724
63,0.8378757515,387.1862838572,387.1862838572,387.7465143419,0.2814491935,6.6422098314
64,0.8368737475,387.1862838572,387.2011467124,387.7487336965,0.3401129181,6.5339499367
65,0.8358717435,387.1862838572,387.2028925877,387.7512408472,0.3721355992,6.4588268814
66,0.8348697395,387.1862838572,387.2707662870,387.7857683756,0.3222027992,6.8403136893
67,0.8338677355,387.1862838572,387.2382819135,387.7926627369,0.3348505283,6.5912678063
68,0.8328657315,387.1784977805,387.1784977805,387.7729194265,0.3490028055,6.5166029931
69,0.8318637275,387.1784977805,387.2380755551,387.8290274452,0.4174804766,6.8450055406
70,0.8308617234,387.1784977805,387.2358073671,387.8321271170,0.3490343392,6.8082604254
