iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
35,0.8659318637,359.9972749322,360.3928833407,364.0470736624,1.9595776160,8.3327114597
36,0.8649298597,359.9972749322,360.7968947925,364.0906783711,1.9812447551,8.4659046378
37,0.8639278557,359.9972749322,360.2367494916,363.8997426160,2.3127771670,8.2294307089
38,0.8629258517,359.9972749322,360.7652610952,364.2003902804,2.1604588879,8.2501826040
39,0.8619238477,359.9972749322,360.6843455773,364.1239950211,2.0356842232,8.2868044454
40,0.8609218437,359.9972749322,360.0314679589,363.7074327074,2.1642822800,8.2667274018
41,0.8599198397,359.9972749322,360.1521730183,364.0212300575,2.4402073896,8.2071003667
42,0.8589178357,359.9972749322,360.2415125962,363.5370352792,2.0954605003,7.9371681420
43,0.8579158317,359.6677408434,359.6677408434,363.9205869319,2.6336782935,8.4775550159
44,0.8569138277,359.4488909367,359.4488909367,363.4856100373,2.0662526115,8.3880963467
45,0.8559118236,359.4488909367,360.4329832353,363.7188600116,2.1666686209,8.3527407754
46,0.8549098196,359.4488909367,360.2382652554,364.0891694997,2.2560740911,8.3810410349
47,0.8539078156,358.9741016468,358.9741016468,363.5520849447,2.2321711230,8.4820807593
48,0.8529058116,358.9741016468,360.0823457509,363.6242287291,2.7303850233,8.5824521867
49,0.8519038076,358.9741016468,359.4815245733,363.1983137413,2.1932692102,8.1649860880
50,0.8509018036,358.9741016468,359.3726783877,363.6339492332,2.3666194817,8.5203371887
51,0.8498997996,358.9741016468,359.3248237337,363.6050256479,2.2923257304,8.5768253535
52,0.8488977956,358.9741016468,359.3573117573,363.1335578754,2.2690341535,8.0708154397
53,0.8478957916,358.9594888090,358.9594888090,363.2434096201,2.3816898681,8.3956000230
54,0.8468937876,358.9594888090,359.8765210841,363.5683262714,2.0808300924,8.0496974395
55,0.8458917836,358.7969071536,358.7969071536,363.3947222724,2.4909826329,8.3907723711
56,0.8448897796,358.1157035831,358.1157035831,362.8739661438,2.1673710278,8.5302635182
57,0.8438877756,358.1157035831,358.4001038556,363.0812283356,2.4996727148,8.3672918929
58,0.8428857715,358.1157035831,358.7332926173,363.2881915399,2.4036623093,8.1134984509
59,0.8418837675,358.0732061438,358.0732061438,363.0275761179,2.4595207118,8.4008439834
60,0.8408817635,358.0732061438,358.4691721156,362.6581565312,2.3410368426,8.1776289718
61,0.8398797595,358.0732061438,358.1656372771,362.5701982276,2.2388943402,7.8524228037
62,0.8388777555,358.0732061438,358.4537637885,362.1691952318,2.0501887961,7.8295151681
63,0.8378757515,358.0732061438,358.4329528984,362.7312228552,2.1416513280,8.3312298207
64,0.8368737475,358.0732061438,358.3348278820,362.4630248867,2.3798075139,8.2306908101
65,0.8358717435,358.0732061438,358.4360935524,362.4145024353,2.2160294528,8.0076309681
66,0.8348697395,358.0732061438,358.4147632621,362.1094780477,1.9341475489,7.7807572009
67,0.8338677355,358.0732061438,358.1524828010,361.9698328689,2.0582494526,7.7488525717
68,0.8328657315,358.0732061438,358.8114098733,362.1508264092,2.1520570648,7.8357193775
69,0.8318637275,358.0732061438,358.6370566276,362.0318280622,2.0907522608,7.6240682638
70,0.8308617234,358.0732061438,358.1078093835,361.7404650192,1.9865417542,7.5322514112
