iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
55,0.8458917836,349.5574506615,349.5574506615,350.6535794875,0.7216487905,11.2942593330
56,0.8448897796,349.5574506615,349.5739923043,350.5723454324,0.5093358070,11.4118752316
57,0.8438877756,349.5574506615,349.5643113078,350.7653832017,0.9063201827,10.4819510883
58,0.8428857715,349.5574506615,349.8239441721,350.5629993182,0.6458792993,10.3968313088
59,0.8418837675,349.5574506615,349.7484085636,350.6576588093,0.8403437779,10.7494015228
60,0.8408817635,349.5574506615,349.6988136532,350.7382658220,1.0429433839,10.5918867588
61,0.8398797595,349.5574506615,349.7587947423,350.5607482742,0.6423236748,10.0079660858
62,0.8388777555,349.5574506615,349.6009316507,350.6653359009,0.9074344709,9.9269963788
63,0.8378757515,349.5574506615,349.7265853103,350.5863643664,0.8705593847,9.8361806179
64,0.8368737475,349.5574506615,349.8276190699,350.6991427158,0.9279920566,10.2499493748
65,0.8358717435,349.5574506615,349.7358170644,350.6423543268,0.9968642683,9.6072823578
66,0.8348697395,349.5574506615,349.7194957287,350.5846262515,0.8116186129,9.3454771667
67,0.8338677355,349.5574506615,349.7404699592,350.6686285626,1.0840332669,9.5873109018
68,0.8328657315,349.5574506615,349.5710508193,350.5639741011,0.9324684294,9.4563883101
69,0.8318637275,349.5574506615,349.6425673615,350.4139431855,0.5550250916,9.7321041802
70,0.8308617234,349.5574506615,349.6497043127,350.4092522814,0.5829682537,9.2151631237
