iteration,inertia,gbest_fitness,iteration_best_fitness,mean_fitness,std_fitness,swarm_diversity
31,0.8699398798,166.9368415871,167.0988208417,167.8056845915,0.3741117081,15.3764380894
32,0.8689378758,166.9368415871,166.9798159060,167.8178634558,0.5143216613,14.9278079213
33,0.8679358717,166.5448935486,166.5448935486,167.8209684122,0.5319180594,16.8373484268
34,0.8669338677,166.5448935486,166.6450603922,167.7197944446,0.6340527999,17.2430870149
35,0.8659318637,166.5448935486,166.8952146378,168.0452948485,0.6668487333,16.4030605884
36,0.8649298597,166.5448935486,166.6347696416,167.7312371969,0.5614055923,17.6649113033
37,0.8639278557,166.5448935486,166.5881099927,167.5180220674,0.4608982626,17.2509946895
38,0.8629258517,166.4392773628,166.4392773628,167.5773200865,0.5947214342,16.5262051660
39,0.8619238477,166.4392773628,166.8549972654,167.8420096758,0.6228726437,16.2696560293
40,0.8609218437,166.4392773628,166.5402944139,167.6741083249,0.5752310772,15.7906234214
41,0.8599198397,166.4392773628,166.5417635200,167.5025596471,0.4729192629,16.0601860885
42,0.8589178357,166.3438731707,166.3438731707,167.4879776722,0.4788349264,16.4904968587
43,0.8579158317,166.3438731707,166.5826630938,167.5752895194,0.5361838554,15.2277017107
44,0.8569138277,166.3438731707,166.5434692891,167.6620781095,0.6629236007,15.2641700215
45,0.8559118236,166.3438731707,166.5663865259,167.5075416376,0.5111086625,15.2969187550
46,0.8549098196,166.3438731707,166.5195219851,167.4080866914,0.4504815996,15.4822190770
47,0.8539078156,166.2746758165,166.2746758165,167.4387241989,0.5302497665,16.1574586873
48,0.8529058116,166.2746758165,166.9129910789,167.5925826734,0.4726182879,14.5599393920
49,0.8519038076,166.2746758165,166.4812576387,167.4926212357,0.4789248222,14.6720360324
50,0.8509018036,166.2746758165,166.4403741217,167.4857540607,0.5115842941,15.3016270632
51,0.8498997996,166.2746758165,166.4477836150,167.4701847333,0.5437398026,15.0197721155
52,0.8488977956,166.2746758165,166.3795697173,167.2930959670,0.5943624866,14.2346669906
53,0.8478957916,166.2746758165,166.4624610531,167.4452721684,0.5523038826,14.0055993705
54,0.8468937876,166.2746758165,166.5096213056,167.3281285730,0.4585536106,13.7450475179
55,0.8458917836,166.2746758165,166.6470488011,167.3750248850,0.4206670108,14.2613699550
56,0.8448897796,166.2746758165,166.5325107590,167.3699130471,0.4973043898,14.1159521637
57,0.8438877756,166.2746758165,166.3167561893,167.3214530445,0.4146707556,13.5576718699
58,0.8428857715,166.2746758165,166.3649988281,167.2937206247,0.4401796618,13.3717796186
59,0.8418837675,166.2746758165,166.4233611066,167.3631939341,0.4629893569,13.4664777591
60,0.8408817635,166.1582023475,166.1582023475,167.1712631188,0.4408107588,13.1931707381
61,0.8398797595,166.1288433881,166.1288433881,167.2600630660,0.5883408129,14.0532416692
62,0.8388777555,166.1288433881,166.2272468860,167.2225402844,0.6200853657,13.4764783266
63,0.8378757515,166.1288433881,166.3171572203,167.1293146541,0.3623321884,12.8310345934
64,0.8368737475,166.1288433881,166.3084522300,166.9995318609,0.3852052700,12.8977040690
65,0.8358717435,166.0537939209,166.0537939209,167.0956209760,0.4700983046,13.3034299429
66,0.8348697395,166.0537939209,166.1072081068,167.0757584875,0.4426601799,12.9330724656
67,0.8338677355,166.0537939209,166.0572756245,167.0790012709,0.4988696099,12.3173117836
68,0.8328657315,166.0537939209,166.3288199072,166.9984659807,0.3981686396,12.7432893427
69,0.8318637275,166.0537939209,166.0573543714,166.8347490716,0.4580634093,12.4637567627
70,0.8308617234,166.0537939209,166.1131712137,166.9082592764,0.4460115347,12.3894669354
